name,calories,protein,fat,carbs,category
картофель,77.0,2.0,0.1,17.0,carb
морковь,41.0,0.9,0.2,9.6,vegetable
лук,40.0,1.1,0.1,9.3,vegetable
помидор,18.0,0.9,0.2,3.9,vegetable
огурец,15.0,0.7,0.1,3.1,vegetable
капуста,25.0,1.3,0.1,5.8,vegetable
масло растительное,899.0,0.0,99.9,0.0,fat
масло сливочное,748.0,0.5,82.5,0.8,fat
мука,342.0,10.0,1.2,74.0,carb
сахар,399.0,0.0,0.0,99.8,carb
соль,0.0,0.0,0.0,0.0,other
тыква,28.0,1.0,0.1,6.5,vegetable
болгарский перец,31.0,1.0,0.3,6.7,vegetable
чеснок,149.0,6.4,0.5,33.0,carb
свёкла,43.0,1.6,0.2,9.6,vegetable
томатная паста,82.0,4.8,0.5,15.0,carb
кефир,40.0,3.4,1.0,4.7,carb
сыр,402.0,25.0,33.0,1.3,fat
